seed patch,detected target,buggy function,spec_target,spec_predicate,has_violation,confidence,analysis
42378a9ca553,krealloc_array,iort_rmr_alloc_sids,A call to function krealloc_array,The old allocation must be freed with kfree if the new allocation fails.,False,HIGH,"1. **Decision: NO**

2. **Detailed reasoning:**

This code does NOT violate the security rule. Here's my analysis:

**Key factors that make this NOT a violation:**

- **Parameter ownership pattern**: The `sids` pointer is passed as a parameter from an external caller. The caller still maintains ownership and responsibility for the original pointer.

- **Function contract**: This function's purpose is to reallocate and return a new array. The function signature and return pattern indicate the caller is expected to handle memory management.

- **No definitive leak**: When `krealloc_array` fails and returns NULL, the original `sids` pointer remains valid and accessible to the caller. The caller can still free it if needed.

- **Standard realloc pattern**: This follows the typical reallocation pattern where:
  - On success: return the new pointer (caller should use this and free the old one if different)
  - On failure: return NULL, original pointer remains valid for caller to handle

**Why the rule doesn't apply here:**

The security rule about freeing the old allocation on failure typically applies to scenarios where:
- The function has exclusive ownership of the memory
- The original pointer would become inaccessible after the function returns
- There's no way for the caller to clean up

In this case, the caller retains access to the original `sids` pointer and can manage it appropriately based on the return value.

3. **Confidence: HIGH**

This is a standard and safe reallocation pattern commonly used in kernel code where the caller maintains responsibility for memory management."
42378a9ca553,kvrealloc,add_marker,"A call to kvrealloc that returns NULL, indicating reallocation failure","The original allocation (the first parameter to kvrealloc) must be freed before returning or taking error recovery actions, to prevent memory leaks.",True,HIGH,"1. **Decision: YES**

2. **Detailed reasoning:**

This code contains a definite security violation of the kvrealloc rule. Here's the analysis:

- The `markers` variable appears to be a global/static variable (not passed as parameter)
- When `kvrealloc(markers, newsize, GFP_KERNEL)` is called, the original `markers` pointer is passed as the first parameter
- If kvrealloc succeeds, it frees the original allocation and returns a new pointer
- However, if kvrealloc fails and returns NULL, the original `markers` memory is **not automatically freed** by kvrealloc
- The code then assigns NULL to `markers` (`markers = kvrealloc(...)` where kvrealloc returned NULL)
- This overwrites the original pointer without freeing it first
- The error path (`goto error`) does not attempt to free the original allocation
- The original memory allocation is permanently lost, creating a memory leak

The violation occurs because when kvrealloc fails, the original memory remains allocated but the pointer to it is lost when `markers` is set to NULL. The function should either:
- Preserve the original pointer before calling kvrealloc, or  
- Explicitly free the original allocation in the error path

This is not a false positive because:
- `markers` is not a parameter (it's a module-level variable)
- No other variable maintains a reference to the original allocation
- The error handling does not properly manage the original memory
- The function doesn't return the pointer for external management

3. **Confidence: HIGH**"
42378a9ca553,kvrealloc,module_frob_arch_sections,"A call to kvrealloc that returns NULL, indicating reallocation failure","The original allocation (the first parameter to kvrealloc) must be freed before returning or taking error recovery actions, to prevent memory leaks.",False,TARGET_NOT_FOUND,The localized buggy function does not contain the target API call in the current kernel tree.
99ca0b57e49f,pci_disable_device,cdns3_pci_probe,A call to function pci_disable_device,The pci_disable_device function must not be called if the device is already disabled.,False,HIGH,"1. **Decision: NO**

2. **Detailed reasoning:**

Looking at this code carefully, there are two instances where `pci_disable_device(pdev)` is called:

**First instance (line with kzalloc failure):**
```c
if (!wrap) {
    pci_disable_device(pdev);
    return -ENOMEM;
}
```
This call occurs immediately after `pcim_enable_device(pdev)` succeeded. Since we just enabled the device and the allocation failed, calling `pci_disable_device()` here is appropriate and safe.

**Second instance (platform device registration failure):**
```c
if (IS_ERR(wrap->plat_dev)) {
    pci_disable_device(pdev);
    err = PTR_ERR(wrap->plat_dev);
    kfree(wrap);
    return err;
}
```
This occurs after `pcim_enable_device(pdev)` succeeded and we're in an error path where platform device registration failed. Again, since we enabled the device earlier in this function, calling `pci_disable_device()` is appropriate.

**Key observations:**
- The function uses `pcim_enable_device()` (managed version) which should handle cleanup automatically
- Both `pci_disable_device()` calls occur in error paths after the device was successfully enabled in this same function
- The code checks `pci_is_enabled(func)` for the secondary function but doesn't disable it, only the current `pdev`
- There's no scenario where the device would already be disabled when `pci_disable_device()` is called

The security rule states ""pci_disable_device function must not be called if the device is already disabled."" In both cases here, the device was just enabled by this function, so it's definitely not already disabled.

3. **Confidence: HIGH**

The code follows proper error handling patterns and only calls `pci_disable_device()` on a device that was successfully enabled earlier in the same function. There is no violation of the security rule."
99ca0b57e49f,pci_disable_device,cdnsp_pci_probe,A call to function pci_disable_device,The pci_disable_device function must not be called if the device is already disabled.,False,HIGH,"Looking at this code, I need to analyze whether `pci_disable_device()` is called on a device that is already disabled, which would violate the security rule.

**Decision: NO**

**Detailed reasoning:**

1. **Device enabling flow**: The code calls `pcim_enable_device(pdev)` early in the function (line with the comment ""Enabling PCI device has failed""). This enables the PCI device.

2. **Error path analysis**: The `pci_disable_device(pdev)` call is only reached through the `disable_pci:` label, which occurs in error paths after the device has been successfully enabled by `pcim_enable_device()`.

3. **Managed resource pattern**: The code uses `pcim_enable_device()` (note the 'm' prefix) which is the managed version of `pci_enable_device()`. However, the error path still manually calls `pci_disable_device()`, which is a valid pattern for cleaning up in error scenarios before the managed cleanup would take effect.

4. **Control flow verification**: 
   - `pcim_enable_device()` succeeds → device is enabled
   - If any subsequent operation fails → goto `disable_pci` → `pci_disable_device()` called on enabled device
   - This is the correct sequence

5. **No double-disable scenario**: There's no code path where `pci_disable_device()` could be called on an already disabled device. The function either:
   - Fails before enabling the device (exits via `put_pci`)
   - Successfully enables the device, then potentially disables it once in error paths
   - Succeeds completely (no disable call)

The code follows proper PCI device management practices where disable is only called after a successful enable, and only once per enable.

**Confidence: HIGH**

The control flow is clear and there's no scenario where `pci_disable_device()` would be called on an already disabled device."
a508e33956b5,of_parse_phandle,__cci_ace_get_port,A call to function of_parse_phandle that returns a device node pointer with incremented refcount.,The returned device node pointer must be released with of_node_put() when done to avoid refcount leak.,True,HIGH,"1. Decision: YES

2. Detailed reasoning:
This code definitively violates the security rule. Here's the analysis:

- `of_parse_phandle(dn, ""cci-control-port"", 0)` is called and returns a device node pointer with an incremented reference count
- The returned pointer `cci_portn` is stored in a local variable
- The pointer is only used for comparison in the loop: `cci_portn == ports[i].dn`
- After the loop completes (whether a match is found or not), the function returns without calling `of_node_put(cci_portn)`
- The local variable `cci_portn` goes out of scope when the function returns, but the reference count remains incremented

This is NOT a false positive because:
- The pointer is NOT passed as a parameter from an external function
- The pointer is NOT assigned to another variable that would maintain the reference outside this function
- The pointer is NOT returned to the caller for them to manage
- There are no error handling paths that clean up the resource
- The function simply uses the pointer for comparison and then abandons it

The reference count leak occurs in all execution paths of this function. Even when a match is found and the function returns early with `return i`, the `of_node_put()` call is still missing.

3. Confidence: HIGH

The violation is clear and unambiguous. The `of_parse_phandle()` call increments a reference count that is never decremented, leading to a definite memory leak."
a508e33956b5,of_parse_phandle,amx3_idle_init,A call to function of_parse_phandle that returns a device node pointer with incremented refcount.,The returned device node pointer must be released with of_node_put() when done to avoid refcount leak.,True,HIGH,"**Decision: YES**

**Detailed reasoning:**

This code has a definite violation of the security rule. Here's my analysis:

1. **of_parse_phandle() calls**: The function calls `of_parse_phandle(cpu_node, ""cpu-idle-states"", i)` in a loop, which returns device node pointers that increment the reference count.

2. **Missing of_node_put() calls**: After obtaining each `state_node` pointer, the code uses it to:
   - Check availability with `of_device_is_available(state_node)`
   - Read properties with `of_property_read_bool(state_node, ""ti,idle-wkup-m3"")`
   
   However, there are **no corresponding of_node_put() calls** to decrement the reference count.

3. **Reference count leak**: Each successful call to `of_parse_phandle()` increments the device node's reference count. Without `of_node_put()`, these references are never released, causing a refcount leak.

4. **Multiple leak scenarios**:
   - Normal path: When `state_node` is processed and the loop continues
   - Early termination: When `i == CPUIDLE_STATE_MAX` and the loop breaks
   - Skip path: When `of_device_is_available(state_node)` returns false and `continue` is executed

5. **Not a false positive**: This is not a case where:
   - The pointer is passed as a parameter (it's locally obtained)
   - The pointer is assigned to maintain reference elsewhere
   - There's proper error handling
   - The pointer is returned for caller management

**Confidence: HIGH**

The violation is clear and definite - every `of_parse_phandle()` call should be paired with `of_node_put()` before the pointer goes out of scope, but none are present in this code."
a508e33956b5,of_parse_phandle,cdx_msi_domain_init,A call to function of_parse_phandle that returns a device node pointer with incremented refcount.,The returned device node pointer must be released with of_node_put() when done to avoid refcount leak.,True,HIGH,"1. **Decision: YES**

2. **Detailed reasoning:**

This code contains a definite security violation. Here's the analysis:

- `of_parse_phandle(np, ""msi-map"", 1)` returns a device node pointer with an incremented reference count
- The returned pointer is stored in `parent_node`
- `parent_node` is used to get a fwnode handle via `of_fwnode_handle(parent_node)`
- However, `parent_node` is never released with `of_node_put()` before the function returns

**Critical violation points:**
- In the success path: The function returns `cdx_msi_domain` without calling `of_node_put(parent_node)`, causing a reference leak
- In error paths: When `irq_find_matching_fwnode()` or `msi_create_irq_domain()` fail, the function returns NULL without releasing `parent_node`

**Why this is NOT a false positive:**
- This is not a parameter pointer - `parent_node` is locally obtained via `of_parse_phandle()`
- The pointer is not assigned to maintain reference elsewhere - it's only used locally to get the fwnode handle
- There are no proper error handling paths that clean up the resource
- The function does not return this pointer for caller management - it returns a different pointer (`cdx_msi_domain`)

The correct fix would be to add `of_node_put(parent_node)` after the `irq_find_matching_fwnode()` call and before each return statement, since the device node reference is no longer needed after getting the IRQ domain.

3. **Confidence: HIGH**

The violation is clear and unambiguous - a device node pointer obtained from `of_parse_phandle()` is never released, causing a definite reference count leak in all code paths."
a508e33956b5,of_parse_phandle,imx_pcie_probe,A call to function of_parse_phandle that returns a device node pointer with incremented refcount.,The returned device node pointer must be released with of_node_put() when done to avoid refcount leak.,True,HIGH,"## Analysis

**Decision: YES**

**Detailed Reasoning:**

This code contains a definite violation of the security rule. Here's my analysis:

1. **of_parse_phandle() call identified**: Line `np = of_parse_phandle(node, ""fsl,imx7d-pcie-phy"", 0);` returns a device node pointer with an incremented reference count.

2. **Usage pattern**: The pointer `np` is used in the following block:
   - Checked for validity (`if (np)`)
   - Used in `of_address_to_resource(np, 0, &res)` 
   - After this usage, the pointer is never released

3. **Missing of_node_put()**: There is no corresponding `of_node_put(np)` call anywhere in the function, neither in the success path nor in error paths.

4. **Error handling analysis**: Even in the error path where `of_address_to_resource()` fails, the function returns immediately without releasing the reference: `return ret;`

5. **Function scope**: This is a complete function (`imx_pcie_probe`) and the `np` variable is local to this function. The pointer is not:
   - Passed as a parameter from outside
   - Assigned to any persistent data structure
   - Returned to the caller
   - Stored in any way that would maintain the reference beyond this function

6. **Memory leak consequence**: When this function exits (either successfully or on error after the `of_parse_phandle` call), the reference count on the device node remains elevated, causing a reference count leak.

This is a clear violation of the security rule requiring device node pointers from `of_parse_phandle()` to be released with `of_node_put()`.

**Confidence: HIGH**

The violation is unambiguous - there's a clear acquisition of a reference without any corresponding release, leading to a definite memory leak."
a508e33956b5,of_parse_phandle,omap_usb2_probe,A call to function of_parse_phandle that returns a device node pointer with incremented refcount.,The returned device node pointer must be released with of_node_put() when done to avoid refcount leak.,True,HIGH,"1. **Decision: YES**

2. **Detailed reasoning:**

This code has a DEFINITE violation of the security rule. Here's the analysis:

**The violation occurs with `control_node`:**
```c
control_node = of_parse_phandle(node, ""ctrl-module"", 0);
if (!control_node) {
    dev_err(&pdev->dev, ""Failed to get control device phandle\n"");
    return -EINVAL;
}

control_pdev = of_find_device_by_node(control_node);
if (!control_pdev) {
    dev_err(&pdev->dev, ""Failed to get control device\n"");
    return -EINVAL;  // BUG: control_node reference leaked here
}
```

**Why this is a definite violation:**
- `of_parse_phandle()` returns a device node pointer with an incremented reference count
- The pointer is stored in `control_node` 
- After calling `of_find_device_by_node(control_node)`, the `control_node` pointer is no longer used
- There are two error return paths (`return -EINVAL`) where `control_node` is not released with `of_node_put()`
- Even in the success path, `control_node` is never released - it goes out of scope without cleanup

**The correct fix would be:**
```c
control_node = of_parse_phandle(node, ""ctrl-module"", 0);
if (!control_node) {
    dev_err(&pdev->dev, ""Failed to get control device phandle\n"");
    return -EINVAL;
}

control_pdev = of_find_device_by_node(control_node);
of_node_put(control_node);  // Release the reference immediately after use

if (!control_pdev) {
    dev_err(&pdev->dev, ""Failed to get control device\n"");
    return -EINVAL;
}
```

This is not a false positive because:
- The pointer is not passed as a parameter from outside
- It's not assigned to maintain the reference elsewhere
- There's no conditional logic preventing the leak
- The function doesn't return this pointer for caller management
- This is a local variable that goes out of scope without proper cleanup

3. **Confidence: HIGH**

The violation is clear and unambiguous. Every code path that uses `control_node` fails to call `of_node_put()`, creating a definite reference count leak."
a508e33956b5,of_parse_phandle,rcar_drif_bond_enabled,A call to function of_parse_phandle that returns a device node pointer with incremented refcount.,The returned device node pointer must be released with of_node_put() when done to avoid refcount leak.,False,HIGH,"1. **Decision: NO**

2. **Detailed reasoning:**

This code does NOT violate the security rule. Here's my analysis:

- The function calls `of_parse_phandle()` which returns a device node pointer with an incremented reference count
- The function then returns this pointer directly to the caller in the success case (`if (np && of_device_is_available(np)) return np;`)
- In the failure case, it returns NULL (implicitly calling `of_node_put()` would be needed here, but since `np` is NULL or the device is not available, there's no leak)

**Key point:** This is a **pointer-returning function** where the caller receives the pointer and becomes responsible for managing its lifecycle. The function is designed to transfer ownership of the reference to the caller. This is a common and valid pattern in kernel code.

The caller of `rcar_drif_bond_enabled()` will receive the device node pointer and must call `of_node_put()` when done with it. The responsibility for releasing the reference is correctly transferred to the caller, not handled within this function.

This is similar to other kernel functions that return allocated resources - the caller gets both the resource and the responsibility to free it.

3. **Confidence: HIGH**

This is a clear case of a function that returns a pointer for the caller to manage, which is an explicitly mentioned scenario to avoid flagging as a false positive."
a508e33956b5,of_parse_phandle,simplefb_get_memory_of,A call to function of_parse_phandle that returns a device node pointer with incremented refcount.,The returned device node pointer must be released with of_node_put() when done to avoid refcount leak.,True,HIGH,"1. **Decision: YES**

2. **Detailed reasoning:**

This code definitively violates the security rule. Here's my analysis:

- `np = of_parse_phandle(of_node, ""memory-region"", 0)` gets a device node pointer with an incremented reference count
- The pointer `np` is used only once: `err = of_address_to_resource(np, 0, res)`
- After this usage, `np` is never released with `of_node_put()`
- The function has multiple return paths (NULL return, ERR_PTR(-ENOMEM), ERR_PTR(err), and normal return), and NONE of them call `of_node_put(np)`
- This is not a case where the pointer is passed as a parameter - `np` is locally obtained within this function
- This is not a case where the pointer is assigned to maintain reference elsewhere - it's only used temporarily
- This is not a case where the function returns the pointer for caller management - the function returns a `struct resource *`, not the device node
- The error handling paths also fail to release the reference

The missing `of_node_put(np)` before each return statement creates a definite reference count leak. The correct pattern would be to call `of_node_put(np)` after `of_address_to_resource()` and before any return.

3. **Confidence: HIGH**

This is a clear-cut violation with no ambiguity. The device node reference is acquired locally, used, and never released, creating a guaranteed memory leak."
a508e33956b5,of_parse_phandle,tegra210_xusb_padctl_probe,A call to function of_parse_phandle that returns a device node pointer with incremented refcount.,The returned device node pointer must be released with of_node_put() when done to avoid refcount leak.,True,HIGH,"1. Decision: **YES**

2. Detailed reasoning:

This code contains a **DEFINITE violation** of the security rule. Here's the analysis:

**The violation:**
- `np = of_parse_phandle(dev->of_node, ""nvidia,pmc"", 0)` returns a device node pointer with an incremented reference count
- The function uses this pointer in `pdev = of_find_device_by_node(np)` 
- However, `np` is **never released** with `of_node_put(np)` before the function returns

**Critical flow analysis:**
- After `of_find_device_by_node(np)`, the `np` pointer is no longer needed
- The function continues to use `pdev` (not `np`) for subsequent operations
- Both success path (`goto out`) and all error paths (`return ERR_PTR(...)`) exit without calling `of_node_put(np)`
- Even if `np` is NULL (when `of_parse_phandle` fails), the code safely jumps to `out:` label, but when `np` is valid, it's leaked

**Why this is NOT a false positive:**
- The pointer is NOT passed as a parameter - it's locally created
- The pointer is NOT assigned to maintain reference elsewhere - `pdev` is derived from `np` but doesn't hold the device node reference
- There are NO error handling paths that properly release `np`
- The function does NOT return `np` for caller management - it returns `&padctl->base`

**The fix would be:**
```c
pdev = of_find_device_by_node(np);
of_node_put(np);  // Add this line
if (!pdev) {
    dev_warn(dev, ""PMC device is not available\n"");
    goto out;
}
```

3. Confidence: **HIGH**

This is a clear refcount leak where the device node reference obtained from `of_parse_phandle()` is never properly released."
